date,spy_open,previous_close,gap_pct,first_1m_return,net_movement,opening_range_high,opening_range_low,opening_range_width,breakout_direction,volatility,volume,volume_ratio,label
2024-12-02,602.97,602.78,0.0315,0.0779,0.0755,603.6799,602.82,0.8599,UP,0.3485,1679851,1.267,PASS
2024-12-03,603.39,603.8,-0.0679,-0.0133,0.0249,603.72,603.16,0.56,UP,0.264,784653,0.5927,PASS
2024-12-04,605.63,603.92,0.2832,0.0066,0.0248,606.05,605.51,0.54,UP,0.247,1242381,0.9476,PASS
2024-12-05,607.66,607.37,0.0477,0.0247,0.0156,607.85,607.58,0.27,UP,0.1688,704611,0.5281,PASS
2024-12-06,607.44,606.41,0.1699,0.0379,0.1219,608.3,607.34,0.96,UP,0.269,1092107,0.9183,PASS
2024-12-09,607.69,607.94,-0.0411,-0.0569,-0.0457,607.86,607.28,0.58,DOWN,0.34,894833,0.7607,PASS
2024-12-10,605.37,604.55,0.1356,-0.0909,-0.1701,605.4,604.315,1.085,DOWN,0.2997,698198,0.6028,PASS
2024-12-11,605.78,602.92,0.4744,-0.0462,0.0314,606.03,605.5,0.53,UP,0.23,876598,0.7781,PASS
2024-12-12,606.58,607.24,-0.1087,-0.0066,-0.0956,606.64,605.9,0.74,DOWN,0.2572,804335,0.7169,PASS
2024-12-13,606.4,604.32,0.3442,-0.0115,0.0049,606.5,606.01,0.49,UP,0.282,935853,0.8378,PASS
2024-12-16,606.0,604.08,0.3178,0.0008,-0.0182,606.4,605.777,0.623,DOWN,0.3436,1159787,1.0339,PASS
2024-12-17,604.19,606.8399,-0.4367,-0.053,-0.0248,604.29,603.6004,0.6896,DOWN,0.3709,1249314,1.1438,PASS
2024-12-18,603.98,603.88,0.0166,0.005,-0.0331,604.15,603.67,0.48,DOWN,0.2972,801040,0.721,PASS
2024-12-19,591.36,586.27,0.8682,0.0287,0.2367,592.87,590.6,2.27,UP,0.696,2501533,2.2743,PASS
