date,spy_open,previous_close,gap_pct,first_1m_return,net_movement,opening_range_high,opening_range_low,opening_range_width,breakout_direction,volatility,volume,rvol_10d,vix_at_open,entry_price,outcome_label,label,max_gain_reached,max_drawdown_reached
2023-04-11,410.26,409.56,0.1709,-0.0951,-0.0585,410.27,409.6,0.67,DOWN,0.308,1325894,0.7219,19.15,410.02,PASS,PASS,0.0636,-0.1683
2023-04-12,411.87,409.88,0.4855,-0.085,-0.0291,412.14,411.5,0.64,DOWN,0.3842,1916590,1.0748,18.6,411.7502,FAIL_FAKEOUT,PASS,0.102,-0.3911
2023-04-13,409.18,407.99,0.2917,0.0024,0.0293,409.435,409.08,0.355,UP,0.257,1644656,0.9078,18.57,409.3,TAKE,TAKE,0.386,-0.1464
2023-04-14,412.81,413.26,-0.1089,0.063,0.0872,413.25,412.77,0.48,UP,0.2761,1239751,0.7073,17.89,413.17,TAKE,TAKE,0.4647,-0.2493
2023-04-17,412.37,412.56,-0.0461,-0.0036,0.0461,412.605,412.23,0.375,UP,0.2802,1209033,0.7322,17.72,412.56,PASS,PASS,0.1527,-0.0606
2023-04-18,415.58,413.96,0.3913,-0.0938,-0.0914,415.64,415.03,0.61,DOWN,0.243,1504100,0.981,16.99,415.2,FAIL_FAKEOUT,PASS,0.1252,-0.5467
2023-04-19,412.22,413.91,-0.4083,0.0861,0.0655,412.74,412.16,0.58,UP,0.318,1660862,1.1112,16.82,412.49,PASS,PASS,0.1406,-0.0703
2023-04-20,411.21,413.92,-0.6547,0.041,0.1289,411.75,411.08,0.67,UP,0.2098,2407874,1.583,17.36,411.74,PASS,PASS,0.187,-0.0923
2023-04-21,412.19,412.02,0.0413,-0.097,-0.0958,412.28,411.74,0.54,DOWN,0.317,1623194,1.0168,17.3,411.795,FAIL_FAKEOUT,PASS,0.1566,-0.329
2023-04-24,411.99,412.21,-0.0534,0.1068,0.1068,412.64,411.94,0.7,UP,0.342,1707826,1.046,17.34,412.43,PASS,PASS,0.1552,-0.0436
2023-04-25,410.58,412.67,-0.5065,0.0536,0.0804,411.01,410.55,0.46,UP,0.214,1530045,0.9422,17.64,410.91,FAIL_FAKEOUT,PASS,0.0608,-0.3626
2023-04-26,406.72,406.25,0.1157,0.0565,0.0172,407.27,406.69,0.58,UP,0.352,1945792,1.1833,18.87,406.79,FAIL_FAKEOUT,PASS,0.075,-0.4351
2023-04-27,407.0,404.52,0.6131,-0.0442,0.0074,407.17,406.74,0.43,UP,0.284,2127157,1.2913,17.98,407.03,TAKE,TAKE,0.3636,-0.0491
2023-04-28,411.49,412.2,-0.1722,0.1021,0.1264,412.18,411.43,0.75,UP,0.3035,1550324,0.9143,16.76,412.01,TAKE,TAKE,0.6796,-0.0243
2023-05-01,415.47,416.15,-0.1634,0.0457,0.077,415.87,415.38,0.49,UP,0.242,1087169,0.6297,16.31,415.79,PASS,PASS,0.2383,-0.0336
2023-05-02,414.77,415.79,-0.2453,-0.082,-0.1169,414.82,414.03,0.79,DOWN,0.267,1835359,1.0705,16.72,414.285,FAIL_FAKEOUT,PASS,0.0109,-0.8967
2023-05-03,411.36,410.9,0.1119,0.0511,0.017,411.74,411.28,0.46,UP,0.271,1226757,0.702,17.92,411.43,PASS,PASS,0.2965,-0.0437
2023-05-04,406.93,408.04,-0.272,0.0049,0.0467,407.18,406.72,0.46,UP,0.302,1809733,1.062,19.25,407.12,FAIL_FAKEOUT,PASS,0.0368,-0.8007
2023-05-05,408.91,404.97,0.9729,-0.0367,0.1247,409.595,408.64,0.955,UP,0.345,2598425,1.5802,18.31,409.42,TAKE,TAKE,0.4152,-0.0488
2023-05-08,412.97,412.42,0.1334,-0.0218,-0.1065,413.13,412.45,0.68,DOWN,0.24,1396442,0.8017,17.63,412.53,PASS,PASS,0.0994,-0.1867
2023-05-09,411.13,412.69,-0.378,-0.0413,-0.0413,411.18,410.6894,0.4906,DOWN,0.2091,1641819,0.9597,17.76,410.96,PASS,PASS,0.2141,-0.0633
2023-05-10,413.88,411.07,0.6836,0.0338,0.116,414.535,413.76,0.775,UP,0.2552,1836936,1.0668,16.53,414.36,FAIL_FAKEOUT,PASS,0.0241,-0.6902
2023-05-11,411.95,412.98,-0.2494,-0.0461,-0.2962,412.09,410.72,1.37,DOWN,0.3898,1726304,1.0089,17.7,410.73,PASS,PASS,0.2069,-0.185
2023-05-12,413.42,412.15,0.3081,-0.0169,-0.0121,413.5699,413.26,0.3099,DOWN,0.2219,1180785,0.7067,16.62,413.37,FAIL_FAKEOUT,PASS,0.0653,-0.4154
2023-05-15,412.22,411.54,0.1652,-0.0437,-0.1993,412.29,411.36,0.93,DOWN,0.3268,1644456,1.0064,17.72,411.3983,FAIL_FAKEOUT,PASS,0.0758,-0.284
2023-05-16,411.86,412.81,-0.2301,0.0097,0.0385,412.235,411.64,0.595,UP,0.26,1444188,0.8547,17.59,412.0185,FAIL_FAKEOUT,PASS,0.1933,-0.32
2023-05-17,412.35,410.24,0.5143,-0.0194,-0.0473,412.41,411.09,1.32,DOWN,0.36,1628753,0.9868,17.28,412.155,FAIL_FAKEOUT,PASS,0.0303,-0.3688
2023-05-18,414.9,414.99,-0.0217,0.0048,-0.0072,415.05,414.67,0.38,DOWN,0.2237,1308829,0.7741,16.96,414.87,TAKE,TAKE,0.5508,-0.0265
2023-05-19,420.17,419.24,0.2218,-0.0202,0.019,420.3305,419.8,0.5305,UP,0.2921,2115983,1.2897,16.07,420.25,PASS,PASS,0.1118,-0.088
2023-05-22,418.64,418.67,-0.0072,0.043,0.2269,419.67,418.62,1.05,UP,0.3168,1212491,0.7614,17.09,419.59,FAIL_FAKEOUT,PASS,0.1907,-0.5339
2023-05-23,417.08,418.81,-0.4131,-0.0432,0.0455,417.51,416.84,0.67,UP,0.2898,1574870,1.0005,18.1,417.2699,PASS,PASS,0.2061,-0.0743
2023-05-24,412.42,414.13,-0.4129,-0.0606,-0.0364,412.49,411.78,0.71,DOWN,0.314,2063731,1.3167,19.89,412.2699,FAIL_FAKEOUT,PASS,0.0122,-0.4778
2023-05-25,414.74,410.94,0.9247,-0.2074,-0.3351,414.8,413.2,1.6,DOWN,0.464,2893179,1.8196,19.17,413.35,FAIL_FAKEOUT,PASS,0.1089,-0.2274
2023-05-26,415.33,414.69,0.1543,0.0289,0.1421,416.32,415.25,1.07,UP,0.409,1409697,0.826,18.74,415.9202,TAKE,TAKE,0.8367,-0.0842
2023-05-30,422.03,420.18,0.4403,0.0687,0.0877,422.58,421.91,0.67,UP,0.363,2206945,1.276,17.12,422.4,FAIL_FAKEOUT,PASS,0.0071,-0.5232
2023-05-31,418.28,420.13,-0.4403,0.0383,-0.0096,418.82,418.14,0.68,DOWN,0.311,1801370,1.0087,17.98,418.24,FAIL_FAKEOUT,PASS,0.2343,-0.4256
2023-06-01,418.09,418.05,0.0096,-0.0586,-0.2081,418.28,417.18,1.1,DOWN,0.3051,1735718,0.9529,17.4,417.22,TAKE,TAKE,0.3667,-0.1031
2023-06-02,424.5,421.64,0.6783,0.1272,0.2591,425.64,424.44,1.2,UP,0.332,2522647,1.3768,15.13,425.6,FAIL_FAKEOUT,PASS,0.1821,-0.3877
2023-06-05,428.3,427.84,0.1075,0.007,0.0724,429.67,428.16,1.51,UP,0.538,1219133,0.624,15.14,428.61,FAIL_FAKEOUT,PASS,0.1983,-0.2286
2023-06-06,426.67,427.12,-0.1054,-0.0586,-0.1102,426.72,426.05,0.67,DOWN,0.247,1536378,0.8242,14.91,426.2,TAKE,TAKE,0.3355,-0.0493
2023-06-07,428.44,428.08,0.0841,0.0513,0.1424,429.07,428.34,0.73,UP,0.2511,1513291,0.798,13.9,429.05,FAIL_FAKEOUT,PASS,0.1329,-0.254
2023-06-08,426.62,426.59,0.007,0.0023,0.0471,427.12,426.5,0.62,UP,0.276,1433545,0.7584,14.08,426.8209,FAIL_FAKEOUT,PASS,0.1872,-0.2345
2023-06-09,429.96,428.95,0.2355,-0.0047,0.0384,430.44,429.92,0.52,UP,0.299,1566249,0.8572,13.67,430.125,TAKE,TAKE,0.4243,-0.0267
